Título;Gênero;Rótulos de gênero;Estreia;Temporadas;Temporadas analisadas;Episódios analisados;Comprimento;Comprimento mínimo;Comprimento máximo;Status;Ativo;Tabela;Idioma;Data Inclusão;Data de Alteração
Dance & Sing with True;chrildrens musical short;chrildrens,musical,short;2018-05-18T00:00:00.000-03:00;1 season, 11 episodes;1;11;2 min.;2;2;Pending;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:16.649-03:00
Super Monsters Monster Party;chrildrens musical short;chrildrens,musical,short;2018-09-14T00:00:00.000-03:00;1 season, 4 episodes;1;4;2 min.;2;2;Pending;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:19.222-03:00
True Tunes;chrildrens musical short;chrildrens,musical,short;2019-07-12T00:00:00.000-03:00;a ser anunciado;0;0;TBA;0;0;Pending;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:21.826-03:00
Harvey Girls Forever!;childrens-animation;childrens-animation;2018-06-29T00:00:00.000-03:00;2 seasons, 26 episodes;2;26;24 min.;24;24;Pending;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:15.667-03:00
Llama Llama;childrens-animation;childrens-animation;2018-01-26T00:00:00.000-02:00;1 season, 15 episodes;1;15;24 min.;24;24;Renewed;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:15.765-03:00
True and the Rainbow Kingdom;childrens-animation;childrens-animation;2017-08-11T00:00:00.000-03:00;2 seasons, 14 episodes;2;14;24 min.;24;24;Renewed;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:16.340-03:00
Stretch Armstrong and the Flex Fighters;childrens-animation;childrens-animation;2017-11-17T00:00:00.000-02:00;2 seasons, 23 episodes;2;23;23 min.;23;23;Pending;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:17.255-03:00
Ask the StoryBots;childrens-animation;childrens-animation;2016-08-12T00:00:00.000-03:00;2 seasons, 14 episodes;2;14;20–28 min.;20;28;Renewed;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:17.217-03:00
3Below: Tales of Arcadia;childrens-animation;childrens-animation;2018-12-21T00:00:00.000-02:00;1 part, 13 episodes;0;13;23–24 min.;23;24;Renewed;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:17.397-03:00
The Dragon Prince;childrens-animation;childrens-animation;2018-09-14T00:00:00.000-03:00;2 seasons, 18 episodes;2;18;25–27 min.;25;27;Renewed;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:17.368-03:00
Cupcake & Dino: General Services;childrens-animation;childrens-animation;2018-07-27T00:00:00.000-03:00;2 seasons, 26 episodes;2;26;22–23 min.;22;23;Pending;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:17.494-03:00
Kulipari: Dream Walker;childrens-animation;childrens-animation;2018-11-20T00:00:00.000-02:00;1 season, 10 episodes;1;10;23 min.;23;23;Pending;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:18.327-03:00
The Hollow;childrens-animation;childrens-animation;2018-06-08T00:00:00.000-03:00;1 season, 10 episodes;1;10;24 min.;24;24;Renewed;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:18.794-03:00
Trolls: The Beat Goes On!;childrens-animation;childrens-animation;2018-01-19T00:00:00.000-02:00;6 seasons, 38 episodes;6;38;24–25 min.;24;25;Pending;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:18.899-03:00
Legend Quest;childrens-animation;childrens-animation;2017-02-24T00:00:00.000-03:00;1 season, 13 episodes;1;13;22 min.;22;22;Renewed;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:19.485-03:00
Hilda;childrens-animation;childrens-animation;2018-09-21T00:00:00.000-03:00;1 season, 13 episodes;1;13;24 min.;24;24;Renewed;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:19.825-03:00
Super Monsters Monster Pets;childrens-animation;childrens-animation;2019-06-07T00:00:00.000-03:00;1 season, 5 episodes;1;5;9–12 min.;9;12;Pending;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:19.826-03:00
The Epic Tales of Captain Underpants;childrens-animation;childrens-animation;2018-07-13T00:00:00.000-03:00;2 seasons, 26 episodes;2;26;24 min.;24;24;Renewed;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:20.029-03:00
Charlie's Colorforms City;childrens-animation;childrens-animation;2019-03-22T00:00:00.000-03:00;1 season, 13 episodes;1;13;25 min.;25;25;Pending;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:20.274-03:00
Word Party;childrens-animation;childrens-animation;2016-07-08T00:00:00.000-03:00;3 seasons, 40 episodes;3;40;13 min.;13;13;Renewed;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:20.470-03:00
Larva Island;childrens-animation;childrens-animation;2018-10-19T00:00:00.000-03:00;2 seasons, 26 episodes;2;26;8 min.;8;8;Pending;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:20.640-03:00
Super Monsters;childrens-animation;childrens-animation;2017-10-13T00:00:00.000-03:00;2 seasons, 16 episodes;2;16;22–23 min.;22;23;Renewed;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:21.126-03:00
Spirit Riding Free;childrens-animation;childrens-animation;2017-05-05T00:00:00.000-03:00;8 seasons, 52 episodes;8;52;23 min.;23;23;Pending;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:21.400-03:00
Spy Kids: Mission Critical;childrens-animation;childrens-animation;2018-04-20T00:00:00.000-03:00;2 seasons, 20 episodes;2;20;23–25 min.;23;23;Pending;1;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:21.671-03:00
